Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
2,28-10-2011,1769296.25,0,65.87,3.372,217.3251824,7.441
13,12-03-2010,1840686.94,0,37.62,2.733,126.6042857,8.316
4,03-12-2010,2102530.17,0,46.4,2.727,126.7313333,7.127
27,05-11-2010,1686010.02,0,45.91,3.049,136.7862258,8.021
32,02-03-2012,1153332.89,0,33.4,3.191,196.9565303,8.256
27,20-05-2011,1725268.56,0,60.22,4.202,138.587106,7.725
32,25-06-2010,1124763.74,0,72.42,2.715,189.4533931,8.963
1,16-07-2010,1448938.92,0,83.15,2.623,211.1003854,7.787
8,12-02-2010,994801.4,1,33.34,2.548,214.6214189,6.299
3,01-04-2011,374556.08,0,68.76,3.524,218.2114184,7.574
1,17-08-2012,1597868.05,0,84.85,3.571,222.0384109,6.908
25,06-04-2012,791356.9,0,44.73,3.996,214.2387053,7.139
37,25-03-2011,522105.93,0,71.07,3.473,213.3436744,8.395
19,05-02-2010,1507637.17,0,20.96,2.954,131.5279032,8.35
42,23-12-2011,575676.13,0,48.36,3.541,129.9845484,7.874
8,25-02-2011,917317.15,0,51.29,3.065,216.9247918,6.262
35,29-06-2012,892133.41,0,73.94,3.506,142.1920381,8.876
38,04-02-2011,402341.76,0,45.14,3.348,127.7195806,14.021
31,24-06-2011,1375962.46,0,85.72,3.594,214.7441108,7.931
40,13-08-2010,924011.76,0,67.47,2.81,132.63,5.326
14,02-09-2011,1750891.47,0,70.63,3.703,186.6189274,8.625
10,04-02-2011,1968045.91,0,44.88,3.348,127.7195806,8.744
8,10-09-2010,831425.2,1,74.34,2.565,214.8528728,6.315
32,24-12-2010,1949183.14,0,30.72,2.781,191.1430189,9.137
42,05-11-2010,565390.4,0,71.04,3.009,126.4912903,9.003
28,30-07-2010,1150204.71,0,96.31,3.017,126.1069032,14.18
35,23-12-2011,1550214.02,0,41.59,3.389,140.528765,8.745
21,24-06-2011,771298.98,0,85.72,3.594,214.7441108,7.931
28,27-01-2012,1132948.48,0,50.43,3.675,130.3144516,12.187
11,02-09-2011,1297792.41,0,91.44,3.533,219.1501106,7.567
40,17-06-2011,971422.67,0,59.16,3.873,135.0837333,4.781
8,06-01-2012,872113.23,0,43.47,3.157,223.2409668,5.825
10,25-05-2012,1830939.1,0,86.03,4.127,131.0287742,7.382
45,28-10-2011,781694.57,0,51.78,3.569,187.8774913,8.523
19,03-02-2012,1345311.65,0,36.22,3.796,137.0632581,7.943
12,11-11-2011,1095091.53,0,48.76,3.824,129.8167097,12.89
20,29-07-2011,1858440.92,0,77.47,3.829,208.6564699,7.274
28,25-11-2011,1929738.27,1,53.25,3.622,129.8364,12.89
23,17-06-2011,1470520.83,0,61.06,3.873,135.0837333,4.781
36,10-09-2010,434471.38,1,80.58,2.513,210.2641156,8.36
35,09-09-2011,922440.64,1,70.93,3.738,140.2310173,8.684
6,17-09-2010,1308537.75,0,81.78,2.582,213.0398643,6.973
38,04-11-2011,436970.1,0,59.77,3.828,129.8051935,12.89
2,11-02-2011,2168041.61,1,33.19,3.022,212.5928624,8.028
